ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
mand1415-1-230-2,,mand1415,1-230,tiándì,tiándì,tʰ j ɛ n ³⁵ + t i ⁵¹,field,yuhsiaojung2021,,,^ tián dì$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),田地;田地
mand1415-1-240-1,,mand1415,1-240,shāngǔ,shāngǔ,ʂ a n ⁵⁵ + k u ²¹⁴,,yuhsiaojung2021,,,^ shāngǔ $,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),山谷;山谷
mand1415-1-250-1,,mand1415,1-250,dǎo,dǎo,t au ²¹⁴,,yuhsiaojung2021,,,^ dǎo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),岛;島
mand1415-1-260-1,,mand1415,1-260,dàlù,dàlù,t a ⁵¹ + l u ⁵¹,,yuhsiaojung2021,,,^ dà lù$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),大陆;大陸
mand1415-1-270-1,,mand1415,1-270,hǎibīn,hǎibīn,x ai ²¹⁴ + p i n ⁵⁵,sea shore,yuhsiaojung2021,,,^ hǎi bīn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),海滨;海濱
mand1415-1-270-2,,mand1415,1-270,húbīn,húbīn,x u ³⁵ + p i n ⁵⁵,lake shore,yuhsiaojung2021,,,^ hú bīn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),湖滨;湖濱
mand1415-1-280-1,,mand1415,1-280,dòngxué,dòngxué,t ʊ ŋ ⁵¹ + ɕ ɥ ə ³⁵,,yuhsiaojung2021,,,^ dòng xué$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),洞穴;洞穴
mand1415-1-310-1,,mand1415,1-310,shuǐ,shuǐ,ʂ w əi ²¹⁴,,yuhsiaojung2021,,,^ shuǐ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),水;水
mand1415-1-320-1,,mand1415,1-320,hǎi,hǎi,x ai ²¹⁴,,yuhsiaojung2021,,,^ hǎi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),海;海
mand1415-1-322-1,,mand1415,1-322,píngjìng,píngjìng,pʰ i ŋ ³⁵ + tɕ i ŋ ⁵¹,,yuhsiaojung2021,,,^ píng jìng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),平静;平靜
mand1415-1-323-1,,mand1415,1-323,bōtāoxiōngyǒng,bōtāoxiōngyǒng,p w o ⁵⁵ + tʰ au ⁵⁵ + ɕ j ʊ ŋ ⁵⁵ + j ʊ ŋ ²¹⁴,,yuhsiaojung2021,,,^ bō tāo xiōng yǒng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),波涛汹涌;波濤洶湧
mand1415-1-324-1,,mand1415,1-324,pàomò,pàomò,pʰ au ⁵¹ + m w ɔ ⁵¹,,yuhsiaojung2021,,,^ pào mò$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),泡沫;泡沫
mand1415-1-329-1,,mand1415,1-329,hǎiyáng,hǎiyáng,x ai ²¹⁴ + j a ŋ ³⁵,,yuhsiaojung2021,,,^ hǎi yáng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),海洋;海洋
mand1415-1-330-1,,mand1415,1-330,hú,hú,x u ³⁵,,yuhsiaojung2021,,,^ hú$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),湖;湖
mand1415-1-340-1,,mand1415,1-340,wān,wān,w a n ⁵⁵,,yuhsiaojung2021,,,^ wān$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),湾;灣
mand1415-1-341-1,,mand1415,1-341,huánjiāohú,huánjiāohú,x w a n ³⁵ + tɕ j au ⁵⁵ + x u ³⁵,,yuhsiaojung2021,,,^ huán jiāo hú$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),环礁湖;環礁湖
mand1415-1-342-1,,mand1415,1-342,jiāo,jiāo,tɕ j au ⁵⁵,,yuhsiaojung2021,,,^ jiāo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),礁;礁
mand1415-1-343-1,,mand1415,1-343,jiǎjiǎo,jiǎjiǎo,tɕ j a ²¹⁴ + tɕ j au ²¹⁴,,yuhsiaojung2021,,,^ jiǎ jiǎo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),岬角;岬角
mand1415-1-350-1,,mand1415,1-350,bōlàng,bōlàng,p w o ⁵⁵ + l a ŋ ⁵¹,,yuhsiaojung2021,,,^ bō làng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),波浪;波浪
mand1415-1-352-1,,mand1415,1-352,cháo,cháo,ʈʂ au ³⁵,,yuhsiaojung2021,,,^ cháo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),潮;潮
mand1415-1-353-1,,mand1415,1-353,dīcháo,dīcháo,t i ⁵⁵ + ʈʂ au ³⁵,,yuhsiaojung2021,,,^ dī cháo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),低潮;低潮
mand1415-1-354-1,,mand1415,1-354,gāocháo,gāocháo,k au ⁵⁵ + ʈʂ au ³⁵,,yuhsiaojung2021,,,^ gāo cháo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),高潮;高潮
mand1415-1-360-1,,mand1415,1-360,hé,hé,x ə ³⁵,river,yuhsiaojung2021,,,^ hé$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),河;河
mand1415-1-360-2,,mand1415,1-360,xīliú,xīliú,ɕ i ⁵⁵ + l j ɔu ³⁵,stream,yuhsiaojung2021,,,^ xī liú$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),溪流;溪流
mand1415-1-362-1,,mand1415,1-362,xuánwō,xuánwō,ɕ ɥ ɛ n ³⁵ + w ɔ ⁵⁵,Simplified also 漩涡,yuhsiaojung2021,,,^ xuán wō$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),旋涡;漩渦
mand1415-1-370-1,,mand1415,1-370,quán,quán,tɕʰ ɥ ɛ n ³⁵,spring,yuhsiaojung2021,,,^ quán$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),泉;泉
mand1415-1-370-2,,mand1415,1-370,jǐng,jǐng,tɕ i ŋ ²¹⁴,well,yuhsiaojung2021,,,^ jǐng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),井;井
mand1415-1-380-1,,mand1415,1-380,zhǎozé,zhǎozé,ʈʂ au ²¹⁴ + ts ə ³⁵,,yuhsiaojung2021,,,^ zhǎo zé$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),沼泽;沼澤
mand1415-1-390-1,,mand1415,1-390,pùbù,pùbù,pʰ u ⁵¹ + p u ⁵¹,,yuhsiaojung2021,,,^ pù bù$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),瀑布;瀑布
mand1415-1-410-1,,mand1415,1-410,sēnlín,sēnlín,s ə n ⁵⁵ + l i n ³⁵,,yuhsiaojung2021,,,^ sēn lín$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),森林;森林
mand1415-1-420-1,,mand1415,1-420,shù,shù,ʂ u ⁵¹,,yuhsiaojung2021,,,^ shù$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),树;樹
mand1415-1-430-1,,mand1415,1-430,mùtou,mùtou,m u ⁵¹ + tʰ ɔu ⁰,,yuhsiaojung2021,,,^ mù tou$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),木头;木頭
mand1415-1-440-1,,mand1415,1-440,shítou,shítou,ʂ ʅ ³⁵ + tʰ ɔu ⁰,stone,yuhsiaojung2021,,,^ shí tou$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),石头;石頭
mand1415-1-440-2,,mand1415,1-440,yánshí,yánshí,j a n ³⁵ + ʂ ʅ ³⁵,rock,yuhsiaojung2021,,,^ yán shí$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),岩石;岩石
mand1415-1-450-1,,mand1415,1-450,dìzhèn,dìzhèn,t i ⁵¹ + ʈʂ ə n ⁵¹,,yuhsiaojung2021,,,^ dì zhèn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),地震;地震
mand1415-1-510-1,,mand1415,1-510,tiānkōng,tiānkōng,tʰ j ɛ n ⁵⁵ + kʰ ʊ ŋ ⁵⁵,,yuhsiaojung2021,,,^ tiān kōng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),天空;天空
mand1415-1-520-1,,mand1415,1-520,tàiyáng,tàiyáng,tʰ ai ⁵¹ + j a ŋ ³⁵,,yuhsiaojung2021,,,^ tài yáng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),太阳;太陽
mand1415-1-530-1,,mand1415,1-530,yuèliàng,yuèliàng,ɥ ə ⁵¹ + l j a ŋ ⁵¹,,yuhsiaojung2021,,,^ yuè liàng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),月亮;月亮
mand1415-1-540-1,,mand1415,1-540,xīng,xīng,ɕ i ŋ ⁵⁵,,yuhsiaojung2021,,,^ xīng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),星;星
mand1415-1-550-1,,mand1415,1-550,shǎndiàn,shǎndiàn,ʂ a n ²¹⁴ + t j ɛ n ⁵¹,,yuhsiaojung2021,,,^ shǎn diàn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),闪电;閃電
mand1415-1-560-1,,mand1415,1-560,léi,léi,l əi ³⁵,,yuhsiaojung2021,,,^ léi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),雷;雷
mand1415-1-570-1,,mand1415,1-570,léijī,léijī,l əi ³⁵ + tɕ i ⁵⁵,,yuhsiaojung2021,,,^ léi jī$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),雷击;雷擊
mand1415-1-580-1,,mand1415,1-580,bàofēngyǔ,bàofēngyǔ,p au ⁵¹ + f ə ŋ ⁵⁵ + ɥ y ²¹⁴,,yuhsiaojung2021,,,^ bào fēng yǔ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),暴风雨;暴風雨
mand1415-1-590-1,,mand1415,1-590,cǎihóng,cǎihóng,tsʰ ai ²¹⁴ + x ʊ ŋ ³⁵,,yuhsiaojung2021,,,^ cǎi hóng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),彩虹;彩虹
mand1415-1-610-1,,mand1415,1-610,guāng,guāng,k w a ŋ ⁵⁵,,yuhsiaojung2021,,,^ guāng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),光;光
mand1415-1-620-1,,mand1415,1-620,hēi’àn,hēi_àn,x əi ⁵⁵ + a n ⁵¹,,yuhsiaojung2021,,,^ hēi_ àn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),黑暗;黑暗
mand1415-1-630-1,,mand1415,1-630,yīnyǐng,yīnyǐng,j i n ⁵⁵ + j i ŋ ²¹⁴,,yuhsiaojung2021,,,^ yīn yǐng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),阴影;陰影
mand1415-1-640-1,,mand1415,1-640,lùshuǐ,lùshuǐ,l u ⁵¹ + ʂ w əi ²¹⁴,,yuhsiaojung2021,,,^ lù shuǐ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),露水;露水
mand1415-1-710-1,,mand1415,1-710,kōngqì,kōngqì,kʰ ʊ ŋ ⁵⁵ + tɕʰ i ⁵¹,,yuhsiaojung2021,,,^ kōng qì$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),空气;空氣
mand1415-1-720-1,,mand1415,1-720,fēng,fēng,f ə ŋ ⁵⁵,,yuhsiaojung2021,,,^ fēng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),风;風
mand1415-1-730-1,,mand1415,1-730,yún,yún,ɥ y n ³⁵,,yuhsiaojung2021,,,^ yún$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),云;雲
mand1415-1-740-1,,mand1415,1-740,wù,wù,w u ⁵¹,,yuhsiaojung2021,,,^ wù$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),雾;霧
mand1415-1-750-1,,mand1415,1-750,yǔ,yǔ,ɥ y ²¹⁴,,yuhsiaojung2021,,,^ yǔ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),雨;雨
mand1415-1-760-1,,mand1415,1-760,xuě,xuě,ɕ ɥ ə ²¹⁴,,yuhsiaojung2021,,,^ xuě$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),雪;雪
mand1415-1-770-1,,mand1415,1-770,bīng,bīng,p i ŋ ⁵⁵,,yuhsiaojung2021,,,^ bīng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),冰;冰
mand1415-1-780-1,,mand1415,1-780,tiānqì,tiānqì,tʰ j ɛ n ⁵⁵ + tɕʰ i ⁵¹,,yuhsiaojung2021,,,^ tiān qì$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),天气;天氣
mand1415-1-810-1,,mand1415,1-810,huǒ,huǒ,x w ɔ ²¹⁴,,yuhsiaojung2021,,,^ huǒ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),火;火
mand1415-1-820-1,,mand1415,1-820,huǒyàn,huǒyàn,x w ɔ ²¹⁴ + j a n ⁵¹,,yuhsiaojung2021,,,^ huǒ yàn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),火焰;火焰
mand1415-1-830-1,,mand1415,1-830,yān,yān,j a n ⁵⁵,,yuhsiaojung2021,,,^ yān$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),烟;煙
mand1415-1-840-1,,mand1415,1-840,huījìn,huījìn,x w əi ⁵⁵ + tɕ i n ⁵¹,,yuhsiaojung2021,,,^ huī jìn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),灰烬;灰燼
mand1415-1-841-1,,mand1415,1-841,yújìn,yújìn,ɥ y ³⁵ + tɕ i n ⁵¹,,yuhsiaojung2021,,,^ yú jìn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),余烬;餘燼
mand1415-1-851-1,,mand1415,1-851,shāohuǐ,shāohuǐ,ʂ au ⁵⁵ + x w əi ²¹⁴,,yuhsiaojung2021,,,^ shāo huǐ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),烧毁;燒燬
mand1415-1-852-1,,mand1415,1-852,ránshāo,ránshāo,ʐ a n ³⁵ + ʂ au ⁵⁵,,yuhsiaojung2021,,,^ rán shāo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),燃烧;燃燒
mand1415-1-860-1,,mand1415,1-860,diǎnrán,diǎnrán,t j ɛ n ²¹⁴ + ʐ a n ³⁵,,yuhsiaojung2021,,,^ diǎn rán$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),点燃;點燃
mand1415-1-861-1,,mand1415,1-861,xīmiè,xīmiè,ɕ i ⁵⁵ + m j ə ⁵¹,,yuhsiaojung2021,,,^ xī miè$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),熄灭;熄滅
mand1415-1-870-1,,mand1415,1-870,huǒchái,huǒchái,x w ɔ ²¹⁴ + ʈʂʰ ai ³⁵,,yuhsiaojung2021,,,^ huǒ chái$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),火柴;火柴
mand1415-1-880-1,,mand1415,1-880,mùchái,mùchái,m u ⁵¹ + ʈʂʰ ai ³⁵,,yuhsiaojung2021,,,^ mù chái$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),木柴;木柴
mand1415-1-890-1,,mand1415,1-890,mùtàn,mùtàn,m u ⁵¹ + tʰ a n ⁵¹,,yuhsiaojung2021,,,^ mù tàn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),木炭;木炭
mand1415-2-100-1,,mand1415,2-100,rén,rén,ʐ ə n ³⁵,,yuhsiaojung2021,,,^ rén$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),人;人
mand1415-2-210-1,,mand1415,2-210,nánrén,nánrén,n a n ³⁵ + ʐ ə n ³⁵,,yuhsiaojung2021,,,^ nán rén$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),男人;男人
mand1415-2-220-1,,mand1415,2-220,nǚrén,nǚrén,n y ²¹⁴ + ʐ ə n ³⁵,,yuhsiaojung2021,,,^ nǚrén $,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),女人;女人
mand1415-2-230-1,,mand1415,2-230,nánxìng,nánxìng,n a n ³⁵ + ɕ i ŋ ⁵¹,,yuhsiaojung2021,,,^ nán xìng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),男性;男性
mand1415-2-240-1,,mand1415,2-240,nǚxìng,nǚxìng,n y ²¹⁴ + ɕ i ŋ ⁵¹,,yuhsiaojung2021,,,^ nǚ xìng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),女性;女性
mand1415-2-250-1,,mand1415,2-250,nánhái,nánhái,n a n ³⁵ + x ai ³⁵,,yuhsiaojung2021,,,^ nán hái$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),男孩;男孩
mand1415-2-251-1,,mand1415,2-251,shàonián,shàonián,ʂ au ⁵¹ + n j ɛ n ³⁵,,yuhsiaojung2021,,,^ shào nián$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),少年;少年
mand1415-2-260-1,,mand1415,2-260,nǚhái,nǚhái,n y ²¹⁴ + x ai ³⁵,,yuhsiaojung2021,,,^ nǚ hái$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),女孩;女孩
mand1415-2-261-1,,mand1415,2-261,shàonǚ,shàonǚ,ʂ au ⁵¹ + n y ²¹⁴,,yuhsiaojung2021,,,^ shào nǚ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),少女;少女
mand1415-2-270-1,,mand1415,2-270,értóng,értóng,ɚ ³⁵ + tʰ ʊ ŋ ³⁵,pre-puberty,yuhsiaojung2021,,,^ ér tóng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),儿童;兒童
mand1415-2-270-2,,mand1415,2-270,háizi,háizi,x ai ³⁵ + ts ɿ ⁰,offspring,yuhsiaojung2021,,,^ hái zi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),孩子;孩子
mand1415-2-280-1,,mand1415,2-280,yīng’ér,yīng_ér,j i ŋ ⁵⁵ + ɚ ³⁵,,yuhsiaojung2021,,,^ yīng_ ér$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),婴儿;嬰兒
mand1415-2-310-1,,mand1415,2-310,zhàngfu,zhàngfu,ʈʂ a ŋ ⁵¹ + f u ⁰,,yuhsiaojung2021,,,^ zhàng fu$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),丈夫;丈夫
mand1415-2-320-1,,mand1415,2-320,qīzi,qīzi,tɕʰ i ⁵⁵ + ts ɿ ⁰,,yuhsiaojung2021,,,^ qī zi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),妻子;妻子
mand1415-2-330-1,,mand1415,2-330,jiéhūn,jiéhūn,tɕ j ə ³⁵ + x ʊ n ⁵⁵,,yuhsiaojung2021,,,^ jié hūn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),结婚;結婚
mand1415-2-340-1,,mand1415,2-340,hūnyīn,hūnyīn,x ʊ n ⁵⁵ + j i n ⁵⁵,marriage,yuhsiaojung2021,,,^ hūn yīn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),婚姻;婚姻
mand1415-2-340-2,,mand1415,2-340,hūnlǐ,hūnlǐ,x ʊ n ⁵⁵ + l i ²¹⁴,wedding,yuhsiaojung2021,,,^ hūn lǐ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),婚礼;婚禮
mand1415-2-341-1,,mand1415,2-341,líhūn,líhūn,l i ³⁵ + x ʊ n ⁵⁵,,yuhsiaojung2021,,,^ lí hūn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),离婚;離婚
mand1415-2-350-1,,mand1415,2-350,fùqin,fùqin,f u ⁵¹ + tɕʰ i n ⁰,,yuhsiaojung2021,,,^ fù qin$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),父亲;父親
mand1415-2-360-1,,mand1415,2-360,mǔqin,mǔqin,m u ²¹⁴ + tɕʰ i n ⁰,,yuhsiaojung2021,,,^ mǔ qin$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),母亲;母親
mand1415-2-370-1,,mand1415,2-370,fùmǔ,fùmǔ,f u ⁵¹ + m u ²¹⁴,,yuhsiaojung2021,,,^ fù mǔ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),父母;父母
mand1415-2-380-1,,mand1415,2-380,yǐhūn nánrén,yǐhūn_nánrén,j i ²¹⁴ + x ʊ n ⁵⁵ + n a n ³⁵ + ʐ ə n ³⁵,,yuhsiaojung2021,,,^ yǐ hūn_ nán rén$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),已婚男人;已婚男人
mand1415-2-390-1,,mand1415,2-390,yǐhūn nǚrén,yǐhūn_nǚrén,j i ²¹⁴ + x ʊ n ⁵⁵ + n y ²¹⁴ + ʐ ə n ³⁵,,yuhsiaojung2021,,,^ yǐ hūn_ nǚrén $,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),已婚女人;已婚女人
mand1415-2-410-1,,mand1415,2-410,érzi,érzi,ɚ ³⁵ + ts ɿ ⁰,,yuhsiaojung2021,,,^ ér zi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),儿子;兒子
mand1415-2-420-1,,mand1415,2-420,nǚ’ér,nǚ_ér,n y ²¹⁴ + ɚ ³⁵,,yuhsiaojung2021,,,^ nǚ_ ér$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),女儿;女兒
mand1415-2-430-1,,mand1415,2-430,zǐnǚ,zǐnǚ,ts ɿ ²¹⁴ + n y ²¹⁴,,yuhsiaojung2021,,,^ zǐ nǚ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),子女;子女
mand1415-2-440-1,,mand1415,2-440,xiōngdì,xiōngdì,ɕ j ʊ ŋ ⁵⁵ + t i ⁵¹,,yuhsiaojung2021,,,^ xiōng dì$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),兄弟;兄弟
mand1415-2-444-1,,mand1415,2-444,gēge,gēge,k ə ⁵⁵ + k ə ⁰,,yuhsiaojung2021,,,^ gē ge$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),哥哥;哥哥
mand1415-2-445-1,,mand1415,2-445,dìdi,dìdi,t i ⁵¹ + t i ⁰,,yuhsiaojung2021,,,^ dì di$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),弟弟;弟弟
mand1415-2-450-1,,mand1415,2-450,jiěmèi,jiěmèi,tɕ j ə ²¹⁴ + m əi ⁵¹,,yuhsiaojung2021,,,^ jiě mèi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),姐妹;姐妹
mand1415-2-454-1,,mand1415,2-454,jiějie,jiějie,tɕ j ə ²¹⁴ + tɕ j ə ⁰,,yuhsiaojung2021,,,^ jiě jie$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),姐姐;姐姐
mand1415-2-455-1,,mand1415,2-455,mèimei,mèimei,m əi ⁵¹ + m əi ⁰,,yuhsiaojung2021,,,^ mèi mei$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),妹妹;妹妹
mand1415-2-456-1,,mand1415,2-456,xiōngdì jiěmèi,xiōngdì_jiěmèi,ɕ j ʊ ŋ ⁵⁵ + t i ⁵¹ + tɕ j ə ²¹⁴ + m əi ⁵¹,,yuhsiaojung2021,,,^ xiōng dì_ jiě mèi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),兄弟姐妹;兄弟姐妹
mand1415-2-458-1,,mand1415,2-458,shuāngbāotāi,shuāngbāotāi,ʂ w a ŋ ⁵⁵ + p au ⁵⁵ + tʰ ai ⁵⁵,,yuhsiaojung2021,,,^ shuāng bāo tāi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),双胞胎;雙胞胎
mand1415-2-460-1,,mand1415,2-460,zǔfù,zǔfù,ts u ²¹⁴ + f u ⁵¹,paternal,yuhsiaojung2021,,,^ zǔ fù$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),祖父;祖父
mand1415-2-460-2,,mand1415,2-460,wàizǔfù,wàizǔfù,w ai ⁵¹ + ts u ²¹⁴ + f u ⁵¹,maternal,yuhsiaojung2021,,,^ wài zǔ fù$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),外祖父;外祖父
mand1415-2-461-1,,mand1415,2-461,lǎorén,lǎorén,l au ²¹⁴ + ʐ ə n ³⁵,,yuhsiaojung2021,,,^ lǎo rén$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),老人;老人
mand1415-2-470-1,,mand1415,2-470,zǔmǔ,zǔmǔ,ts u ²¹⁴ + m u ²¹⁴,paternal,yuhsiaojung2021,,,^ zǔ mǔ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),祖母;祖母
